concurrency,run_label,completed_requests,failed_requests,total_token_throughput,ttft_mean_ms,ttft_median_ms,ttft_p99_ms
1,run1,10,0,12989.65,4618.84,4394.65,6528.8
1,run2,10,0,174867.28,342.89,270.49,1005.37
5,run1,10,0,13547.63,17791.36,20165.38,23007.66
5,run2,10,0,199488.6,1427.59,1431.63,2015.67
10,run1,10,0,13522.68,25455.05,25336.06,43921.65
10,run2,10,0,215089.75,2584.18,2775.22,2785.68
20,run1,20,0,14068.61,45830.6,45860.47,84407.64
20,run2,20,0,236993.16,4813.21,5035.42,5056.39
30,run1,29,1,13756.32,64646.95,64318.51,124044.39
30,run2,29,1,169120.57,9765.89,10074.54,10278.82
35,run1,34,1,13844.34,76989.29,75500.11,145817.66
35,run2,34,1,167841.24,10788.21,10804.21,12148.77
40,run1,39,1,14020.63,86898.21,88577.71,165123.85
40,run2,40,0,156109.25,12853.77,11887.68,15360.72
50,run1,50,0,14427.39,107160.67,107222.36,205605.43
50,run2,50,0,21987.46,59610.27,55370.22,134064.38
60,run1,59,1,14239.21,126969.97,125337.04,245965.96
60,run2,59,1,18070.26,90128.85,81505.93,193691.89
70,run1,69,1,14261.32,149359.6,150219.59,287081.74
70,run2,69,1,17286.74,105350.62,98362.59,235513.69
150,run1,100,0,14523.76,209706.98,209740.97,408667.27
150,run2,100,0,15425.43,187960.24,185386.64,383977.5
200,run1,150,0,14511.61,313473.62,313487.05,613402.87
200,run2,148,2,14343.97,312002.36,311959.53,612247.4
250,run1,198,2,14411.65,415738.78,414791.46,815698.39
250,run2,198,2,14487.66,413493.3,415091.75,811007.41
